the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.98369089869217 40.747191279063934),CityBridge LLC,MN,26,EAST 33 STREET,5,14082,Y,1,988769,211499,YES,N,Y,N,C5-2,4
POINT (-73.97765386391195 40.75546567895635),CityBridge LLC,MN,29,EAST 46 STREET,5,14090,Y,2,990441,214514,YES,N,Y,N,C5-3/MID,4
POINT (-73.95767835460734 40.77374279946029),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1369,3 AVENUE,8,10748,Y,2,995972,221175,YES,N,Y,Y,C1-9,4
POINT (-73.99226092264125 40.75895890183716),CityBridge LLC,MN,601,9 AVENUE,4,15906,Y,2,986394,215786,YES,N,Y,N,C6-4/CL,3
POINT (-73.89858546898127 40.861921263137766),CityBridge LLC,BX,2454,CRESTON AVENUE,5,13403,Y,1,1012302,253315,YES,N,Y,N,C4-4,14
POINT (-73.9767879168574 40.76489919187806),CityBridge LLC,MN,1419,6 AVENUE,5,15501,Y,3,990680,217951,YES,N,Y,N,C5-1,4
POINT (-73.9617859572812 40.76934167316386),CityBridge LLC,MN,176,EAST 71 STREET,8,4013,Y,1,994835,219571,YES,N,Y,N,C1-9/LH-1A,4
POINT (-73.98966944283589 40.757380470534954),CityBridge LLC,MN,662,8 AVENUE,5,14202,Y,2,987112,215211,YES,N,Y,,NZS/MID,3
POINT (-73.9866513171074 40.76004805174886),CityBridge LLC,MN,272,WEST 47 STREET,5,14332,Y,1,987948,216183,YES,N,Y,N,C6-4/MID,3
POINT (-73.8895434949127 40.753249283149735),CityBridge LLC,QU,77-02,34 AVENUE,3,11551,Y,1,1014853,213725,YES,N,N,N,R7-1,25
POINT (-73.8895434949127 40.753249283149735),CityBridge LLC,QU,77-02,34 AVENUE,3,15922,Y,1,1014853,213725,YES,N,N,N,R7-1,25
POINT (-73.9422021263974 40.701002866103586),CityBridge LLC,BK,2,GRAHAM AVENUE,1,11552,Y,1,1000276,194676,YES,N,N,N,C4-3,34
POINT (-73.88878207791264 40.70127380287013),CityBridge LLC,QU,65-54,MYRTLE AVENUE,5,13873,Y,1,1015088,194789,YES,N,Y,N,C1-2/R5,30
POINT (-73.90883273642294 40.699814745929466),CityBridge LLC,QU,54-54,MYRTLE AVENUE,5,7236,Y,1,1009529,194251,YES,N,N,N,C4-3,34
POINT (-73.87869606988714 40.740123947559056),CityBridge LLC,QU,83-45,BROADWAY,4,7238,Y,1,1017865,208947,YES,N,Y,N,R7B,25
POINT (-73.79782720988126 40.70426803931445),CityBridge LLC,QU,162-02,JAMAICA AVENUE,12,15181,Y,1,1040305,195925,YES,N,Y,N,C6-1A,27
POINT (-73.92998615993241 40.85966099996594),CityBridge LLC,MN,31,NAGLE AVENUE,12,5400,Y,1,1003617,252483,YES,N,N,N,R7-2,10
POINT (-73.92041922896605 40.649300247383735),CityBridge LLC,BK,1061,RALPH AVENUE,17,13640,Y,1,1006333,175844,YES,N,Y,N,C1-2/R5,45
POINT (-73.92998615993241 40.85966099996594),CityBridge LLC,MN,31,NAGLE AVENUE,12,7226,Y,1,1003617,252483,YES,N,N,N,R7-2,10
POINT (-73.87859084731764 40.75033980429195),CityBridge LLC,QU,88-12,37 AVENUE,3,1254,Y,1,1017889,212669,YES,N,Y,N,C1-2,21
POINT (-73.83008549623963 40.75943769865273),CityBridge LLC,QU,40-02,MAIN STREET,7,11555,Y,1,1031322,216006,YES,N,Y,N,C4-3,20
POINT (-73.91051928168827 40.77599670591885),CityBridge LLC,QU,31-04,DITMARS BOULEVARD,1,12507,Y,2,1009033,222006,YES,N,N,N,C1-2/R5,22
POINT (-73.87854049250947 40.872974016201155),CityBridge LLC,BX,301,EAST 204 STREET,7,12508,Y,1,1017841,257349,YES,N,N,N,C1-3/R7-1,11
POINT (-73.84338495866325 40.67593611981554),CityBridge LLC,QU,132-45,CROSS BAY BOULEVARD,10,7242,Y,1,1027692,185577,YES,N,N,N,R4,32
POINT (-73.83599938127834 40.68709981861152),CityBridge LLC,QU,107-02,101 AVENUE,9,7243,Y,1,1029733,189648,YES,N,N,N,C2-2/R5,28
POINT (-73.79460323267848 40.73340077862828),CityBridge LLC,QU,68-08,FRESH MEADOW LANE,8,13748,Y,1,1041174,206541,YES,N,Y,N,C2-2/R4,24
POINT (-73.85575651048437 40.87157818280513),CityBridge LLC,BX,3211,BOSTON ROAD,12,16163,Y,1,1024143,256850,YES,N,N,N,C8-1,12
POINT (-73.80790815677629 40.70168051580992),CityBridge LLC,QU,90-63,SUTPHIN BOULEVARD,12,12509,Y,1,1037512,194976,YES,N,N,N,C4-6,27
POINT (-73.90660199614571 40.768143640022714),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,44-14,ASTORIA BOULEVARD,1,10744,Y,2,1010121,219146,YES,N,Y,Y,M1-1,22
POINT (-73.95523453342835 40.77307215973126),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1510,2 AVENUE,8,10739,Y,2,996649,220931,YES,N,Y,Y,C1-5/R10A,5
POINT (-73.95673236590515 40.81272036105322),CityBridge LLC,MN,1315,AMSTERDAM AVENUE,9,5397,Y,1,996227,235376,YES,N,N,N,R7-2,7
POINT (-73.94776184825679 40.78117696785354),CityBridge LLC,MN,350,EAST 92 STREET,8,10082,Y,2,998717,223885,YES,N,Y,N,C2-8,5
POINT (-73.98065392916745 40.75337198066843),CityBridge LLC,MN,2,EAST 42 STREET,5,13999,Y,2,989610,213751,YES,N,Y,Y,C5-3/MID,4
POINT (-73.93858301389525 40.76166283162796),CityBridge LLC,QU,35-53,12 STREET,1,16141,Y,2,1001264,216777,YES,N,N,N,R5,26
POINT (-73.9744856151818 40.790932530265096),CityBridge LLC,MN,2440,BROADWAY,7,13979,Y,1,991315,227436,YES,N,Y,Y,NZS,6
POINT (-73.97218258033283 40.76255141727641),CityBridge LLC,MN,598,MADISON AVENUE,5,12425,Y,3,991956,217096,YES,N,Y,,C5-3/MID,4
POINT (-73.97970862533815 40.75224372715697),CityBridge LLC,MN,300,MADISON AVENUE,5,9947,Y,2,989872,213340,YES,N,Y,N,NZS/MID,4
POINT (-73.82895926452554 40.686345735579835),CityBridge LLC,QU,103-27,114 STREET,10,1251,Y,1,1031686,189377,YES,N,Y,N,C1-2/R4,28
POINT (-73.98976641779741 40.619557358705734),CityBridge LLC,BK,6422,18 AVENUE,11,1641,Y,1,987091,164998,YES,N,Y,N,C4-2,38
POINT (-73.98133787148225 40.60531081842999),CityBridge LLC,BK,255,KINGS HIGHWAY,11,7217,Y,1,989432,159808,YES,N,N,N,C1-3/R6,44
POINT (-73.82777773391004 40.83248810695637),CityBridge LLC,BX,3439,EAST TREMONT AVENUE,10,7227,Y,1,1031909,242622,YES,N,N,N,C1-2/R3A,13
POINT (-73.9832008307156 40.72987731188571),CityBridge LLC,MN,401,EAST 12 STREET,3,4012,Y,1,988906,205191,YES,N,Y,N,C1-5/R7-2,2
POINT (-73.91736913373911 40.76096338300128),CityBridge LLC,QU,31-01,STEINWAY STREET,1,12510,Y,1,1007141,216527,YES,N,N,N,C4-2A,22
POINT (-73.98718663139373 40.754443343588335),CityBridge LLC,MN,150,WEST 40 STREET,5,14019,Y,2,987800,214141,YES,N,Y,,C5-3/MID,3
POINT (-73.95321024380445 40.81254332327768),CityBridge LLC,MN,175,MORNINGSIDE AVENUE,9,5398,Y,1,997202,235312,YES,N,N,N,R7-2,9
