the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.8981682368399 40.74955730896312),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,64-21,BROADWAY,2,6074,Y,1,1012465,212377,YES,N,Y,Y,C2-2/R5,26
POINT (-74.00004690644528 40.73207708606329),CityBridge LLC,MN,86,WEST WASHINGTON PLACE,2,15896,Y,1,984237,205992,YES,N,Y,N,C1-5/R7-2,1
POINT (-73.98604698388607 40.732806345432046),CityBridge LLC,MN,250,EAST 14 STREET,3,15882,Y,1,988117,206258,YES,N,Y,N,C1-6A,2
POINT (-74.0024247425479 40.73318045181088),CityBridge LLC,MN,204,WEST 4 STREET,2,10264,Y,2,983578,206394,YES,N,Y,N,C4-5,3
POINT (-74.00664609684591 40.730215950417644),CityBridge LLC,MN,1,ST LUKES PLACE,2,3945,Y,1,982408,205314,YES,N,Y,N,C1-6,3
POINT (-73.99095856459779 40.75362851181204),CityBridge LLC,MN,265,WEST 37 STREET,5,10008,Y,2,986755,213844,YES,N,Y,N,M1-6/GC,3
POINT (-73.98982462587438 40.73393483514542),CityBridge LLC,MN,145,4 AVENUE,3,9930,Y,2,987070,206669,YES,N,Y,N,C6-4 C6-1,2
POINT (-73.99177443584723 40.75235775532823),CityBridge LLC,MN,261,WEST 35 STREET,5,10007,Y,2,986529,213381,YES,N,Y,N,M1-6/GC,3
POINT (-73.98916752512005 40.736347413498386),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,48,UNION SQUARE EAST,5,10903,Y,2,987252,207548,YES,N,Y,Y,C6-4/US,2
POINT (-73.95953405675729 40.81544414168422),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,56,TIEMANN PLACE,9,6080,Y,1,995451,236368,YES,N,Y,Y,R8,7
POINT (-73.97428983326837 40.78356836933849),CityBridge LLC,MN,449,COLUMBUS AVENUE,7,9999,Y,1,991370,224753,YES,N,Y,N,C1-5/R10A,6
POINT (-73.97909335850842 40.74612557366862),CityBridge LLC,MN,158,EAST 34 STREET,6,10000,Y,2,990043,211111,YES,N,Y,N,C1-9,2
POINT (-74.00405568510344 40.733419199530054),CityBridge LLC,MN,88,CHRISTOPHER STREET,2,8247,Y,1,983126,206481,YES,N,N,N,C1-6,3
POINT (-73.98276643350023 40.74935400619937),CityBridge LLC,MN,12,EAST 36 STREET,5,3450,Y,1,989025,212287,YES,N,Y,N,C5-2,4
POINT (-73.94662656505514 40.81905642983262),CityBridge LLC,MN,337,WEST 138 STREET,10,11349,Y,1,999023,237686,YES,N,N,N,R7-2,9
POINT (-73.88352763834202 40.66602844773092),CityBridge LLC,BK,747,NEW LOTS AVENUE,5,1227,Y,1,1016562,181950,YES,N,Y,N,C1-2\R5,42
POINT (-73.9279226787204 40.62880437938244),CityBridge LLC,BK,1791,UTICA AVENUE,18,14706,Y,1,1004257,168375,YES,N,Y,N,C1-2/R5,46
POINT (-73.99142233173721 40.739885589250335),CityBridge LLC,MN,1,WEST 20 STREET,5,15485,Y,1,986627,208837,YES,N,Y,N,C6-4M,3
POINT (-73.9524819335829 40.80042781146093),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,52,ST NICHOLAS AVENUE,10,10902,Y,2,997406,230898,YES,N,Y,Y,C1-4/R7-2,9
POINT (-73.98519042985966 40.690418876450835),CityBridge LLC,BK,1,HOYT STREET,2,15097,Y,2,988357,190815,YES,N,Y,N,C5-4/DB,33
POINT (-73.83102387785618 40.756644923806235),CityBridge LLC,QU,133-01,41 ROAD,7,15487,Y,1,1031064,214988,YES,N,Y,Y,R6,20
POINT (-73.88011565381751 40.741355083766415),CityBridge LLC,QU,85-01,WHITNEY AVENUE,4,15111,Y,1,1017471,209395,YES,N,Y,Y,C1-3/R7A,25
POINT (-73.95002061988524 40.81219889446749),CityBridge LLC,MN,310,WEST 128 STREET,10,8205,Y,1,998085,235187,YES,N,N,N,R8,9
POINT (-74.0018186813432 40.73773949823518),CityBridge LLC,MN,103,GREENWICH AVENUE,2,14578,Y,1,983746,208055,YES,N,Y,N,C1-6,3
POINT (-73.972063270167 40.74578098936944),CityBridge LLC,MN,645,1 AVENUE,6,9929,Y,2,991991,210986,YES,N,Y,N,C1-9,4
POINT (-73.94269527964741 40.786008037353675),CityBridge LLC,MN,1934,1 AVENUE,11,7020,Y,1,1000119,225646,YES,N,N,N,R7-2,8
POINT (-73.98124316379278 40.75013327660462),CityBridge LLC,MN,244,MADISON AVENUE,5,9922,Y,2,989447,212571,YES,N,Y,N,C5-2,4
POINT (-74.00823094438618 40.70826875194064),CityBridge LLC,MN,59,MAIDEN LANE,1,9923,Y,2,981968,197318,YES,N,Y,N,C5-5/LM,1
POINT (-74.00823094438618 40.70826875194064),CityBridge LLC,MN,59,MAIDEN LANE,1,10262,Y,2,981968,197318,YES,N,Y,N,C5-5/LM,1
POINT (-73.98720852918734 40.75318625226298),CityBridge LLC,MN,1400,BROADWAY,5,9924,Y,2,987794,213683,YES,N,Y,,C5-3/MID,4
POINT (-73.95832817635112 40.77383635740777),CityBridge LLC,MN,183,EAST 78 STREET,8,10263,Y,2,995792,221209,YES,N,Y,N,C1-9,4
POINT (-73.98448551113806 40.75997916184064),CityBridge LLC,MN,201,WEST 48 STREET,5,9925,Y,2,988548,216158,YES,N,Y,N,C6-7T,4
POINT (-74.00080809556312 40.72065066089107),CityBridge LLC,MN,458,BROADWAY,2,9926,Y,1,984026,201829,YES,N,Y,N,M1-5B,1
POINT (-73.97450707491271 40.76318324590338),CityBridge LLC,MN,4,WEST 57 STREET,5,9927,Y,2,991312,217326,YES,N,Y,N,C5-3/MID,4
POINT (-73.96868384492147 40.75657795630701),CityBridge LLC,MN,252,EAST 52 STREET,6,3950,Y,1,992926,214920,YES,N,Y,N,C1-9,4
POINT (-73.9771903053828 40.74944635836668),CityBridge LLC,MN,129,EAST 39 STREET,6,9928,Y,2,990570,212321,YES,N,Y,N,C1-5/R10,4
POINT (-73.80013157419539 40.693545487486766),CityBridge LLC,QU,107-44,SUTPHIN BOULEVARD,12,15486,Y,1,1039675,192017,YES,N,Y,N,C2-2/R4,28
POINT (-73.91460360917289 40.81481029004773),CityBridge LLC,BX,512,EAST 149 STREET,1,12761,Y,1,1007888,236146,NO,N,N,N,C1-4/R6,8
POINT (-73.98322746520624 40.73873738104454),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,300,3 AVENUE,6,6058,Y,1,988898,208419,YES,N,Y,Y,C2-8A,2
POINT (-74.00216826659222 40.724257255598125),CityBridge LLC,MN,399,WEST BROADWAY,2,15478,Y,1,983649,203143,YES,N,Y,N,M1-5A,1
POINT (-73.98651586701992 40.751558538425684),CityBridge LLC,MN,995,6 AVENUE,5,14405,Y,1,987986,213090,YES,N,Y,N,C6-6,4
POINT (-73.97545804149013 40.631563652217885),CityBridge LLC,BK,4224,18 AVENUE,14,6818,Y,1,991062,169373,YES,N,N,N,C1-4/R6A/OP,44
POINT (-73.90025352281256 40.84891556829992),CityBridge LLC,BX,1948,WEBSTER AVENUE,6,6819,Y,1,1011846,248576,YES,N,N,N,C8-3,15
POINT (-73.98095474139595 40.635426610760696),CityBridge LLC,BK,4102,16 AVENUE,12,6820,Y,1,989536,170780,YES,N,N,N,R6,39
POINT (-73.98467624616387 40.762496116921916),CityBridge LLC,MN,256,WEST 51 STREET,5,14337,Y,1,988495,217075,YES,N,Y,N,C6-4,3
POINT (-73.98390544627098 40.72556265563691),CityBridge LLC,MN,95,AVENUE A,3,3943,Y,1,988711,203619,YES,N,Y,N,C2-5\R7A,2
POINT (-74.00260854538746 40.72761682892779),CityBridge LLC,MN,1,KING STREET,2,3944,Y,1,983527,204367,YES,N,Y,N,C1-5/R7-2,3
POINT (-73.98122512028353 40.75012503942191),CityBridge LLC,MN,245,MADISON AVENUE,6,3423,Y,1,989452,212568,YES,N,Y,Y,R10\R8B,4
POINT (-73.97678080911406 40.785287101451296),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,462,AMSTERDAM AVENUE,7,10714,Y,2,990680,225379,YES,N,Y,Y,C2-7A,6
POINT (-73.97712715658261 40.76518196812774),CityBridge LLC,MN,101,WEST 58 STREET,5,15503,Y,2,990586,218054,YES,N,Y,Y,C5-1,4
POINT (-73.9141080800101 40.82366713252409),CityBridge LLC,BX,860,MELROSE AVENUE,3,6872,Y,1,1008022,239373,YES,N,N,N,C1-4\R8,17
POINT (-73.99652575635231 40.72360946078955),CityBridge LLC,MN,269,LAFAYETTE STREET,2,6873,Y,1,985213,202907,YES,N,N,N,C6-2,1
POINT (-73.98631008205663 40.75184122309734),CityBridge LLC,MN,1001,6 AVENUE,5,14403,Y,1,988043,213193,YES,N,Y,N,C6-6,4
POINT (-73.99267665520019 40.75328828531002),CityBridge LLC,MN,515,8 AVENUE,4,14200,Y,2,986279,213720,YES,N,Y,Y,M1-6 C6-4M,3
POINT (-73.98807092150639 40.75451480195204),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,552,7 AVENUE,5,10713,Y,2,987555,214167,YES,N,Y,Y,M1-6,3
POINT (-73.98586790667542 40.76054201216055),CityBridge LLC,MN,248,WEST 48 STREET,5,6878,Y,1,988165,216363,YES,N,Y,N,C6-4,3
POINT (-73.98294441616011 40.73082147001773),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,220,1 AVENUE,3,5925,Y,1,988977,205535,YES,N,Y,Y,C1-7A,2
POINT (-73.98801677304844 40.75455596752046),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,555,7 AVENUE,5,16063,Y,2,987570,214182,YES,N,Y,Y,C5-3,3
POINT (-73.95739665909161 40.672285462086506),CityBridge LLC,BK,764,FRANKLIN AVENUE,8,6870,Y,1,996068,184211,YES,N,N,N,C2-4\R7A,35
POINT (-73.92014925080916 40.7393806394766),CityBridge LLC,QU,45-20,48 AVENUE,2,11372,Y,1,1006378,208663,YES,N,N,N,C1-2\R5,26
POINT (-74.00207850820433 40.73822805975728),CityBridge LLC,MN,104,GREENWICH AVENUE,2,3949,Y,1,983674,208233,YES,N,Y,N,C1-6,3
POINT (-73.98513904901762 40.710625838355874),CityBridge LLC,MN,302,SOUTH STREET,3,5334,Y,1,988370,198177,YES,N,N,N,C6-4,1
POINT (-73.98935316408748 40.726274180293466),CityBridge LLC,MN,72,2 AVENUE,3,14492,Y,2,987201,203878,YES,N,Y,N,C2-5\R7A,2
POINT (-73.96031128509523 40.76614904103067),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1297,2 AVENUE,8,5926,Y,1,995244,218408,YES,N,Y,Y,C1-9,4
POINT (-73.98211265834257 40.778187423381105),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,2061,BROADWAY,7,10715,Y,2,989204,222792,YES,N,Y,Y,C4-6A,6
POINT (-73.975741456569 40.76371873720253),CityBridge LLC,MN,57,WEST 57 STREET,5,9934,Y,2,990970,217521,YES,N,Y,Y,C5-3/MID,4
POINT (-73.94921038114053 40.82301822505789),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1649,AMSTERDAM AVENUE,9,5927,Y,1,998307,239129,YES,N,Y,N,C1-4\R6A,7
POINT (-73.94808148891609 40.829698360211204),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,3645,BROADWAY,9,10716,Y,2,998618,241563,YES,N,Y,Y,C1-4\R8,7
POINT (-73.95696323280109 40.77413503216516),CityBridge LLC,MN,200,EAST 79 STREET,8,6880,Y,1,996170,221318,YES,N,N,N,C1-5\R10A,4
POINT (-73.94011412201608 40.825280995903896),CityBridge LLC,MN,2800,8 AVENUE,10,10508,Y,1,1000824,239955,YES,N,N,N,C1-4\R7-2,9
POINT (-73.95896087458102 40.77242578882342),CityBridge LLC,MN,198,EAST 76 STREET,8,3951,Y,1,995617,220695,YES,N,Y,N,C1-9,4
POINT (-73.98801677304844 40.75455596752046),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,555,7 AVENUE,5,12609,Y,2,987570,214182,YES,N,Y,Y,C5-3,3
POINT (-73.98605182633848 40.7441476620719),CityBridge LLC,MN,20,EAST 28 STREET,5,8276,Y,1,988115,210390,YES,N,N,N,C5-2,2
POINT (-73.99242303847609 40.73002376005383),CityBridge LLC,MN,11,ASTOR PLACE,2,15482,Y,1,986350,205244,YES,N,Y,N,C6-2,2
POINT (-73.8316187380515 40.69981002854386),CityBridge LLC,QU,118-04,JAMAICA AVENUE,9,15098,Y,1,1030939,194281,YES,N,Y,Y,C1-2/R3-1,29
POINT (-73.83032640303215 40.75697326861307),CityBridge LLC,QU,133-45,41 ROAD,7,15489,Y,1,1031257,215108,YES,N,Y,Y,R6,20
POINT (-74.01512277603454 40.64047211134098),CityBridge LLC,BK,5817,5 AVENUE,7,1592,Y,1,980053,172618,YES,N,Y,N,C1-3/R6,38
POINT (-73.99891010798191 40.74547970512057),CityBridge LLC,MN,301,WEST 23 STREET,4,14570,Y,1,984552,210875,YES,N,Y,N,R8,3
POINT (-73.99148931763727 40.75223696575669),CityBridge LLC,MN,247,WEST 35 STREET,5,10006,Y,2,986608,213337,YES,N,Y,,M1-6/GC,3
POINT (-73.99704060959037 40.74730218565678),CityBridge LLC,MN,323,8 AVENUE,4,14573,Y,1,985070,211539,YES,N,Y,N,R8,3
POINT (-73.94324172106384 40.83971153352518),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,128,FT WASHINGTON AVENUE,12,5920,Y,1,999955,245212,YES,N,N,N,R8,7
POINT (-73.86769743902076 40.8543777263229),CityBridge LLC,BX,2138,WHITE PLAINS ROAD,11,13400,Y,1,1020850,250578,YES,N,Y,,R7-1,13
POINT (-73.94551230151642 40.639957900821884),CityBridge LLC,BK,1350,NEW YORK AVENUE,17,11371,Y,1,999372,172435,YES,N,N,N,R6,45
POINT (-73.98168289604182 40.778516724217596),CityBridge LLC,MN,2096,BROADWAY,7,9931,Y,2,989323,222912,YES,N,Y,N,C4-6A,6
POINT (-73.98615476870494 40.7523956434028),CityBridge LLC,MN,1017,6 AVENUE,5,14254,Y,1,988086,213395,YES,N,Y,N,C6-6/MID,4
POINT (-73.99651779871543 40.737813568265466),CityBridge LLC,MN,545,6 AVENUE,4,14298,Y,1,985215,208082,YES,N,Y,N,C6-2A,3
POINT (-74.00140012848468 40.73928754429533),CityBridge LLC,MN,265,WEST 14 STREET,4,14562,Y,1,983862,208619,YES,N,Y,N,C6-2A,3
POINT (-73.91277404912121 40.769131095452764),CityBridge LLC,QU,37-02,ASTORIA BOULEVARD SOUTH,1,13723,Y,1,1008411,219504,YES,N,Y,N,C2-3\R6B,22
POINT (-73.9797060378635 40.748889645221915),CityBridge LLC,MN,101,EAST 37 STREET,6,6865,Y,1,989873,212118,YES,N,N,N,R10,4
POINT (-73.91167435425938 40.77350811875509),CityBridge LLC,QU,33-12,23 AVENUE,1,6866,Y,1,1008714,221099,YES,N,N,N,R5D,22
POINT (-73.89129361140368 40.746866660094554),CityBridge LLC,QU,74-01,ROOSEVELT AVENUE,3,11370,Y,1,1014371,211399,YES,N,N,N,C4-3,25
POINT (-73.98491234489673 40.724182179031224),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,57,AVENUE A,3,5924,Y,1,988432,203116,YES,N,Y,Y,C2-5/R7-2,2
POINT (-73.87369732219483 40.74244887005383),CityBridge LLC,QU,90-59,CORONA AVENUE,4,6924,Y,1,1019249,209796,YES,N,N,N,C2-3\R6B,25
POINT (-73.99583671428448 40.7230604863591),CityBridge LLC,MN,251,MULBERRY STREET,2,15670,Y,1,985404,202707,YES,N,Y,N,C6-2,1
POINT (-74.00142182177657 40.74124729658031),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,126,8 AVENUE,4,10712,Y,2,983856,209333,YES,N,Y,Y,R8B,3
POINT (-73.98130757755389 40.713510024911756),CityBridge LLC,MN,385,MADISON STREET,3,5326,Y,1,989432,199228,YES,N,N,N,R7-2,2
POINT (-73.96725477247293 40.755976459709224),CityBridge LLC,MN,300,EAST 52 STREET,6,10253,Y,2,993322,214701,YES,N,Y,Y,C1-9,4
POINT (-73.9551691230303 40.76833745831111),CityBridge LLC,MN,400,EAST 73 STREET,8,3939,Y,1,996668,219206,YES,N,Y,N,C1-9,5
POINT (-73.97804836677032 40.76316476189032),CityBridge LLC,MN,1361,6 AVENUE,5,14390,Y,1,990331,217319,YES,N,Y,N,C6-6/MID,4
POINT (-73.98997915631213 40.762090478290766),CityBridge LLC,MN,697,9 AVENUE,4,3938,Y,1,987026,216927,YES,N,Y,N,C1-5/R8/CL,3
POINT (-73.98335865468137 40.76250142361813),CityBridge LLC,MN,1663,BROADWAY,5,14319,Y,2,988860,217077,YES,N,Y,,C6-7/MID,3
POINT (-73.97700285055703 40.75926427769975),CityBridge LLC,MN,4,WEST 51 STREET,5,14412,Y,2,990621,215898,YES,N,Y,N,C5-2.5/MID,4
POINT (-73.98189931414602 40.766058389243724),CityBridge LLC,MN,1767,BROADWAY,5,14309,Y,2,989264,218373,YES,N,Y,N,C5-3/MID,3
POINT (-73.9537492174395 40.82192773737967),CityBridge LLC,MN,3399,BROADWAY,9,13473,Y,1,997051,238731,YES,N,Y,N,C1-4/R8,7
POINT (-73.97231136834579 40.7914068668857),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,654,AMSTERDAM AVENUE,7,10699,Y,2,991917,227609,YES,N,Y,Y,C2-8,6
POINT (-73.94193069610792 40.82629746991126),CityBridge LLC,MN,341,EDGECOMBE AVENUE,9,5319,Y,1,1000321,240325,YES,N,Y,N,R7-2,9
POINT (-73.98974965311362 40.75218192914836),CityBridge LLC,MN,479,7 AVENUE,5,14183,Y,2,987090,213317,YES,N,Y,N,M1-6/GC,3
POINT (-73.96982709514822 40.758710928141916),CityBridge LLC,MN,165,EAST 54 STREET,6,12431,Y,2,992609,215697,YES,N,Y,N,C6-6/MID,4
POINT (-73.9902571681977 40.7617062381244),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,683,9 AVENUE,4,10698,Y,2,986949,216787,YES,N,Y,N,C1-5\R8,3
POINT (-73.96707747508337 40.75685198293419),CityBridge LLC,MN,1004,2 AVENUE,6,10254,Y,2,993371,215020,YES,N,Y,Y,C1-9/TA,4
POINT (-73.9809180911982 40.75099781867954),CityBridge LLC,MN,22,EAST 39 STREET,5,14085,Y,2,989537,212886,YES,N,Y,Y,C5-3/MID,4
POINT (-73.99493956041722 40.75525090033468),CityBridge LLC,MN,482,9 AVENUE,4,10255,Y,2,985652,214435,YES,N,Y,N,C1-7A,3
POINT (-73.99100909520328 40.7536312605134),CityBridge LLC,MN,266,WEST 37 STREET,5,11339,Y,2,986741,213845,YES,N,N,N,M1-6/GC,3
POINT (-73.95197336808437 40.78442307643451),CityBridge LLC,MN,1443,LEXINGTON AVENUE,8,16242,Y,1,997550,225067,YES,N,Y,N,C1-8X,5
POINT (-73.95197336808437 40.78442307643451),CityBridge LLC,MN,1443,LEXINGTON AVENUE,8,13879,Y,1,997550,225067,YES,N,Y,N,C1-8X,5
POINT (-73.93467098566785 40.80114095666902),CityBridge LLC,MN,2391,2 AVENUE,11,6809,Y,1,1002337,231161,YES,N,N,N,C1-4/R9/TA,8
POINT (-73.94275681843294 40.79423402911031),CityBridge LLC,MN,2004,3 AVENUE,11,13469,Y,1,1000100,228643,YES,N,Y,N,C1-5/R8A,8
POINT (-73.92740588117258 40.86545072022701),CityBridge LLC,MN,4754,BROADWAY,12,13536,Y,1,1004329,254593,YES,N,Y,N,C4-4,10
POINT (-73.97659436518784 40.75068137529937),CityBridge LLC,MN,373,LEXINGTON AVENUE,6,3422,Y,1,990735,212771,YES,N,Y,N,C5-3/MID,4
POINT (-73.9378715484424 40.79685271611546),CityBridge LLC,MN,2256,2 AVENUE,11,6807,Y,1,1001452,229598,YES,N,N,N,C1-5\R8A,8
POINT (-73.9982612847717 40.71554265257785),CityBridge LLC,MN,71,BAYARD STREET,3,10251,Y,2,984732,199968,YES,N,Y,N,C6-1,1
POINT (-73.93269821735991 40.84822818098595),CityBridge LLC,MN,301,AUDUBON AVENUE,12,5316,Y,1,1002870,248317,YES,N,N,N,R7-2,10
POINT (-73.89247225384067 40.67624224149593),CityBridge LLC,BK,2759,ATLANTIC AVENUE,5,6801,Y,1,1014076,185668,YES,N,N,N,C2-2,37
POINT (-73.8921081890449 40.680663734493),CityBridge LLC,BK,246,JAMAICA AVENUE,5,11329,Y,2,1014175,187279,YES,N,N,N,C1-3/R4,37
POINT (-73.99607718163095 40.74427195361068),CityBridge LLC,MN,200,WEST 23 STREET,4,14529,Y,2,985337,210435,YES,N,Y,,C6-3X,3
POINT (-73.9874367585085 40.691311193703555),CityBridge LLC,BK,2,SMITH STREET,2,15091,Y,2,987734,191140,YES,N,Y,Y,C6-4.5/DB,33
POINT (-73.93147180513749 40.76509249479905),CityBridge LLC,QU,21-34,BROADWAY,1,1627,Y,1,1003233,218028,YES,N,Y,N,C1-2/R6B,22
POINT (-73.97488791742788 40.758393752151285),CityBridge LLC,MN,29,EAST 51 STREET,5,10250,Y,2,991207,215581,YES,N,Y,N,C5-3 C5-2.5,4
POINT (-73.79161402677673 40.72582260618965),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,176-49,UNION TURNPIKE,8,5918,Y,1,1042009,203782,YES,N,Y,Y,C1-2\R2 R2A,24
POINT (-73.92876709026527 40.68149648747701),CityBridge LLC,BK,307,MALCOLM X BOULEVARD,3,6802,Y,1,1004007,187572,YES,N,N,N,R6A,36
POINT (-73.97714608710623 40.76261563791156),CityBridge LLC,MN,77,WEST 55 STREET,5,14380,Y,2,990581,217119,YES,N,Y,N,C6-6/MID,4
POINT (-73.96493183483844 40.76670772256238),CityBridge LLC,MN,890,LEXINGTON AVENUE,8,6803,Y,1,993964,218611,YES,N,N,N,R8B R10,4
POINT (-73.95850151926595 40.767976400987145),CityBridge LLC,MN,301,EAST 71 STREET,8,3940,Y,1,995745,219074,YES,N,Y,N,C1-9/TA,5
POINT (-73.99179221815614 40.75450140348383),CityBridge LLC,MN,557,8 AVENUE,4,14323,Y,2,986524,214162,YES,N,Y,N,M1-6/GC,3
POINT (-73.98978197754096 40.72968869581558),CityBridge LLC,MN,17,3 AVENUE,3,14583,Y,2,987082,205122,YES,N,Y,N,C6-1,2
POINT (-73.98761280340184 40.75302984589764),CityBridge LLC,MN,133,WEST 38 STREET,5,10009,Y,2,987682,213626,YES,N,Y,Y,C5-3/MID,3
POINT (-73.98572151523 40.75304335071976),CityBridge LLC,MN,101,WEST 39 STREET,5,10010,Y,2,988206,213631,YES,N,Y,N,C5-3/MID,4
POINT (-73.98620151377719 40.75324377571076),CityBridge LLC,MN,113,WEST 39 STREET,5,10011,Y,2,988073,213704,YES,N,Y,,C5-3/MID,4
POINT (-74.0038319461027 40.73295259898122),CityBridge LLC,MN,50,GROVE STREET,2,6804,Y,1,983188,206311,YES,N,Y,N,C4-5,3
POINT (-73.97652992310749 40.7594398459396),CityBridge LLC,MN,645,5 AVENUE,5,12434,Y,2,990752,215962,YES,N,Y,N,C5-3/MID,4
POINT (-73.97467013089218 40.76157486255651),CityBridge LLC,MN,1,EAST 55 STREET,5,14158,Y,2,991267,216740,YES,N,Y,N,C5-3/MID,4
POINT (-73.96650476091108 40.76164139646216),CityBridge LLC,MN,991,3 AVENUE,8,14104,Y,2,993529,216765,YES,N,Y,N,C5-2,4
POINT (-73.9925502172861 40.754281875323464),CityBridge LLC,MN,302,WEST 37 STREET,4,3937,Y,1,986314,214082,YES,N,N,N,M1-6/GC,3
POINT (-73.9860480062442 40.76238924624775),CityBridge LLC,MN,831,8 AVENUE,4,3936,Y,1,988115,217036,YES,N,Y,N,C6-4,3
POINT (-73.98820122270774 40.7524672346152),CityBridge LLC,MN,151,WEST 37 STREET,5,3421,Y,1,987519,213421,YES,N,Y,Y,M1-6,3
POINT (-73.95008385658744 40.77123381302237),CityBridge LLC,MN,500,EAST 79 STREET,8,10256,Y,2,998076,220262,YES,N,Y,N,C1-5/R10A,5
POINT (-74.0059874549207 40.748446628183636),CityBridge LLC,MN,568,WEST 23 STREET,4,14534,Y,1,982591,211956,YES,N,Y,N,M1-5/R9A/MX-3,3
POINT (-73.98116815962783 40.74734460015746),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,10,PARK AVENUE,6,10701,Y,2,989468,211555,YES,N,Y,Y,C5-3,2
POINT (-73.96332213328161 40.76600456757474),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1131,3 AVENUE,8,10702,Y,2,994410,218355,YES,N,Y,Y,C1-9,4
POINT (-73.9709698908487 40.79518328528457),CityBridge LLC,MN,230,WEST 97 STREET,7,15894,Y,2,992288,228985,YES,N,Y,N,C4-6A,7
POINT (-73.9994623666649 40.73372668214587),CityBridge LLC,MN,402,6 AVENUE,2,3942,Y,1,984399,206593,YES,N,Y,N,C4-5,3
POINT (-73.9514573624898 40.82353794436893),CityBridge LLC,MN,561,WEST 141 STREET,9,5336,Y,1,997685,239318,YES,N,N,N,C1-4\R8,7
POINT (-73.97575766106974 40.74895201109406),CityBridge LLC,MN,601,3 AVENUE,6,14013,Y,2,990967,212141,YES,N,Y,N,C5-3/MID,4
POINT (-73.99290155635018 40.74275669954645),CityBridge LLC,MN,712,6 AVENUE,5,14256,Y,1,986217,209883,YES,N,Y,N,NZS,3
POINT (-73.98551670100674 40.748824648477715),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,22,WEST 34 STREET,5,5919,Y,1,988263,212094,YES,N,Y,Y,C5-3/MID,4
POINT (-73.9681483003267 40.79711482917945),CityBridge LLC,MN,836,AMSTERDAM AVENUE,7,13934,Y,1,993069,229689,YES,N,Y,N,C1-5\R8 R8B,7
POINT (-73.93993398238682 40.788677256510795),CityBridge LLC,MN,416,EAST 105 STREET,11,6815,Y,1,1000883,226619,YES,N,N,N,R7-2,8
POINT (-73.9981958137285 40.735483311598784),CityBridge LLC,MN,462,6 AVENUE,2,10260,Y,2,984750,207233,YES,N,Y,N,C1-6,3
POINT (-73.98342974723468 40.766939681418776),CityBridge LLC,MN,306,WEST 57 STREET,4,9919,Y,2,988840,218694,YES,N,Y,N,C6-6,3
POINT (-73.97750173791881 40.74634485370587),CityBridge LLC,MN,201,EAST 35 STREET,6,9920,Y,2,990484,211191,YES,N,Y,Y,C1-9\R8B,4
POINT (-73.93698966555871 40.854752021887506),CityBridge LLC,MN,596,FT WASHINGTON AVENUE,12,6884,Y,1,1001681,250693,YES,N,N,N,C1-4\R7-2,10
POINT (-73.94295554704674 40.84048814510428),CityBridge LLC,MN,151,FT WASHINGTON AVENUE,12,6816,Y,1,1000034,245495,YES,N,N,N,R8,10
POINT (-73.95079498556137 40.805576209815825),CityBridge LLC,MN,1995,ADAM CLAYTON POWELL JR BOULEVARD,10,12375,Y,2,997872,232774,YES,N,Y,Y,C1-4/R7-2,9
POINT (-73.99892832399368 40.73482183516775),CityBridge LLC,MN,100,WEST 10 STREET,2,14278,Y,3,984547,206992,YES,N,Y,N,C4-5/LC,3
POINT (-74.00392512562904 40.722179427358),CityBridge LLC,MN,331,WEST BROADWAY,2,10261,Y,2,983162,202386,YES,N,Y,,M1-5A,1
POINT (-74.00751406566926 40.62020808430544),CityBridge LLC,BK,7501,13 AVENUE,10,1625,Y,1,982164,165235,YES,N,Y,N,C1-3\R5B,43
POINT (-73.99109806722613 40.736064869347594),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,19,UNION SQUARE WEST,5,10703,Y,2,986717,207445,YES,N,Y,Y,C6-4/US,2
POINT (-73.98467674375699 40.760333259369986),CityBridge LLC,MN,1600,BROADWAY,5,9918,Y,2,988495,216287,YES,N,Y,N,C6-7T,4
